IsActive,1,2,3,4,5,6,7,8
1,Animals & Pet Supplies,Pet Supplies,Pet Food Scoops,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Combs & Brushes,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Fragrances & Deodorising Sprays,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Hair Dryers,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Hair Trimmers,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Nail Polish,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Nail Tools,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Shampoo & Conditioner,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Wipes,,,,
0,Animals & Pet Supplies,Pet Supplies,Pet Heating Pad Accessories,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Heating Pads,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet ID Tags,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Lead Extensions,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Leads,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Medical Collars,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Medical Tape & Bandages,,,,,
0,Animals & Pet Supplies,Pet Supplies,Pet Medicine,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Muzzles,,,,,
0,Animals & Pet Supplies,Pet Supplies,Pet Oral Care Supplies,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Playpens,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Pushchairs & Strollers,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Steps & Ramps,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Sun Cream,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Training Aids,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Training Aids,Pet Training Clickers & Treat Dispensers,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Training Aids,Pet Training Pad Holders,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Training Aids,Pet Training Pads,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Training Aids,Pet Training Sprays & Solutions,,,,
0,Animals & Pet Supplies,Pet Supplies,Pet Vitamins & Supplements,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Waste Bag Dispensers & Holders,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Waste Bags,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Waste Disposal Systems & Tools,,,,,
1,Animals & Pet Supplies,Pet Supplies,Reptile & Amphibian Supplies,,,,,
1,Animals & Pet Supplies,Pet Supplies,Reptile & Amphibian Supplies,Reptile & Amphibian Food,,,,
0,Animals & Pet Supplies,Pet Supplies,Reptile & Amphibian Supplies,Reptile & Amphibian Habitat Accessories,,,,
1,Animals & Pet Supplies,Pet Supplies,Reptile & Amphibian Supplies,Reptile & Amphibian Habitat Heating & Lighting,,,,
1,Animals & Pet Supplies,Pet Supplies,Reptile & Amphibian Supplies,Reptile & Amphibian Habitats,,,,
1,Animals & Pet Supplies,Pet Supplies,Reptile & Amphibian Supplies,Reptile & Amphibian Substrates,,,,
0,Animals & Pet Supplies,Pet Supplies,Small Animal Supplies,,,,,
